,BC,EFD,DQN,DQN_pre,DQN_KG
0,23611.610531708237,21612.505175915063,21300.69847604583,21299.33173722575,21280.758589452824
1,11492.864847855217,11492.865014978468,11501.78421655999,11501.797050046343,11501.795762742478
2,35104.47537956345,33105.37019089353,32802.482692605816,32801.12878727209,32782.5543521953
3,21172.021798872567,19353.336316684436,19086.0461638825,19067.11526097904,19060.839319587678
4,9593.45978457391,9593.459825084643,9602.556064532273,9602.556056962656,9602.555895843707
5,30765.481583446475,28946.79614176908,28688.602228414773,28669.6713179417,28663.395215431385
6,30114.943267594885,28284.182889502452,27995.88510143068,27997.464212275652,27991.615124651817
7,12163.083043257124,12163.082452481704,12172.156833343339,12172.156937101641,12172.156689817974
8,42278.02631085201,40447.26534198415,40168.04193477402,40169.62114937729,40163.77181446979
9,30755.888755328586,28769.2383951183,28454.60666380913,28441.25013887145,28447.074837333243
10,12258.871701296033,12258.871309558665,12267.767971054393,12267.768071124967,12267.7680505709
11,43014.760456624615,41028.109704676965,40722.37463486352,40709.018209996415,40714.842887904146
12,32000.914092497103,30147.98975716783,29888.02996303593,29872.13167954434,29881.98856111289
13,15317.071339560876,15317.070693165862,15326.173393404633,15326.173156207464,15326.17335302268
14,47317.985432057976,45465.060450333694,45214.203356440565,45198.304835751806,45208.16191413557
15,23330.58432432561,21361.031121973956,21083.540868064578,21054.699113714963,21056.314471992704
16,12522.015247267269,12522.007445574618,12531.067049892092,12531.065440975322,12531.066927869644
17,35852.59957159288,33883.038567548574,33614.60791795667,33585.764554690286,33587.38139986235
18,22524.007140014863,20435.164619515366,20089.891662207618,20063.05629254544,20053.32270583237
19,12155.675829657468,12155.674353934744,12164.592386736967,12164.592229330929,12164.592547419976
20,34679.68296967233,32590.83897345011,32254.484048944585,32227.64852187637,32217.915253252344
21,27974.80827250779,26114.674675527032,25885.747360571568,25865.88169882078,25842.693749960028
22,10991.06785140349,10991.067133648197,11000.13322238683,11000.134875273816,11000.1346512796
23,38965.87612391128,37105.74180917523,36885.8805829584,36866.016574094596,36842.82840123963
24,27819.150885312425,25819.040718675926,25507.47657661087,25450.865872457067,25478.5961859068
25,10978.975430018485,10978.980685526916,10987.894974228166,10987.900264505703,10987.90032908552
26,38798.12631533091,36798.02140420284,36495.37155083903,36438.76613696277,36466.49651499232
27,21938.08938872743,20105.98811118388,19838.908728091083,19829.495180246886,19819.700388701538
28,11092.267720986853,11092.267502919582,11101.366632507621,11101.366740932372,11101.366728592571
29,33030.357109714285,31198.255614103462,30940.2753605987,30930.861921179257,30921.067117294107
