,BC,DN,DN2,BC2,PPO,PPO_preK1,PPO_KGK1,PPO_preK2,PPO_KGK2,PPO_preK3,PPO_KGK3,PPO_preK123,PPO_KGK123
0,9573.426620838887,7993.47713278541,8461.833049162786,8508.61539557431,9071.585504725384,9505.285956067712,9398.16412191075,8837.857560255276,9183.50917221593,8837.857560255276,9183.50917221593,8070.884839930627,9091.790362313133
1,11634.673778128881,16460.421229936124,14253.701417101292,13724.056158619438,10528.644984061879,10977.263483708224,10267.631988380137,12926.128482271693,10646.571602288439,12926.128482271693,10646.571602288439,14646.935916694647,10695.105465587356
2,21208.10039896777,24453.898362721535,22715.53446626408,22232.67155419375,19600.230488787263,20482.549439775936,19665.79611029089,21763.98604252697,19830.08077450437,21763.98604252697,19830.08077450437,22717.820756625275,19786.895827900487
3,13361.20100959453,11784.089727106746,12256.104429507444,12292.189466619344,12845.556186801927,13170.328736667545,13231.279617289518,12438.052684237395,12946.13779323022,12438.052684237395,12946.13779323022,11901.037974732115,13031.447391955799
4,11910.64754163794,16533.111153458292,14505.98351524957,14043.999294068019,11063.972190952458,11208.867251505606,10419.787699569897,13524.098609565375,10798.041035779226,13524.098609565375,10798.041035779226,14829.783847679273,10594.641418709642
5,25271.84855123247,28317.20088056504,26762.087944757015,26336.188760687364,23909.528377754385,24379.195988173153,23651.067316859415,25962.15129380277,23744.17882900945,25962.15129380277,23744.17882900945,26730.821822411388,23626.08881066544
6,8782.30522019786,7232.112300859595,7700.369224699716,7746.609187788892,8362.747205701715,8654.360999131408,8698.847730341426,8057.60362683477,8295.53254128987,8057.60362683477,8295.53254128987,7295.038459346597,8294.649408325866
7,11578.021031778606,16351.903527050641,14172.994854722243,13638.172446884455,10411.162745909589,10843.18580056378,9878.655428736087,12859.892771777222,10787.288375226244,12859.892771777222,10787.288375226244,14926.468012145933,10756.402211886942
8,20360.32625197647,23584.015827910236,21873.36407942196,21384.781634673345,18773.909951611306,19497.54679969519,18577.50315907751,20917.49639861199,19082.820916516113,20917.49639861199,19082.820916516113,22221.506471492532,19051.051620212806
9,7239.6167407505245,6107.413665730356,6590.414217477819,6599.264430963896,6971.119880376565,7094.507764100495,7106.385266349154,6405.987794624782,6739.617611575128,6405.987794624782,6739.617611575128,5949.0047016000335,6974.05031475001
10,10754.155891929291,15035.421520032623,12870.870362087051,12429.970814570122,9464.403682635857,10017.859099388119,9254.400269511634,12358.188888179267,9916.220002034132,12358.188888179267,9916.220002034132,13543.24831063487,9395.339503515277
11,17993.772632679815,21142.83518576298,19461.28457956487,19029.23524553402,16435.523563012423,17112.366863488613,16360.785535860789,18764.17668280405,16655.83761360926,18764.17668280405,16655.83761360926,19492.253012234905,16369.389818265288
12,5754.85323601506,4625.569874392699,5102.270409703183,5094.938713101057,5264.706733336758,5581.401849788859,5671.562604909022,5025.707013079856,5360.719575359824,5025.707013079856,5360.719575359824,4358.040100478128,5225.839002209442
13,10389.769841712041,14793.660715960687,12513.109502944708,12040.029407844137,9338.73365763325,9742.195805767704,8724.390148871735,11491.486852022761,9310.455849602762,11491.486852022761,9310.455849602762,13554.177929934081,9525.445815963538
14,16144.623077727101,19419.230590353385,17615.37991264789,17134.968120945196,14603.440390970007,15323.597655556563,14395.952753780757,16517.193865102618,14671.175424962586,16517.193865102618,14671.175424962586,17912.21803041221,14751.284818172979
15,11644.34397875092,9872.257501555609,10373.614432506884,10404.133243974502,11089.826852669054,11470.398130029986,11450.39337669176,11050.113592399686,10918.928851440638,11050.113592399686,10918.928851440638,9898.078263969777,11183.94216980387
16,12861.174385040653,17709.810984408065,15662.211625984062,15156.545048896613,11981.284996919207,12397.222197063715,11431.067504167797,13996.373891226092,12113.705092971672,13996.373891226092,12113.705092971672,16318.041248564896,11850.89226412967
17,24505.518363791572,27582.068485963675,26035.826058490944,25560.678292871115,23071.111849588262,23867.6203270937,22881.46088085956,25046.48748362578,23032.633944412308,25046.48748362578,23032.633944412308,26216.11951253467,23034.834433933538
18,46812.35513383629,43394.17545552438,43909.58479114618,44167.948362004194,46309.35032701574,46706.70705273667,46732.44012409495,45992.66843092331,46141.102502897105,45992.66843092331,46141.102502897105,45134.93236353694,46796.62108245879
19,21512.914149897108,27164.4004748753,25737.3101444351,25196.72784689903,20590.480903511096,20826.662077703455,20018.445624553617,22661.288856260217,20873.92456732286,22661.288856260217,20873.92456732286,24108.151426599143,19933.947980531986
20,68325.26928373339,70558.57593039967,69646.89493558128,69364.67620890323,66899.83123052683,67533.36913044011,66750.88574864856,68653.95728718353,67015.02707021996,68653.95728718353,67015.02707021996,69243.08379013608,66730.56906299078
21,28041.57375620024,24643.492731521328,25160.090061021063,25444.963916896144,27415.775141386443,27884.866113325923,28056.998781182847,27390.66710988388,27577.539219512055,27390.66710988388,27577.539219512055,25891.810125759373,28040.161554319806
22,21539.344922267046,27270.83485555704,25833.19431589453,25268.86258129037,20948.180532920942,21305.984548888635,20056.639199983114,22557.33254893944,20812.00461650605,22557.33254893944,20812.00461650605,24798.03364034368,20062.90715996195
23,49580.918678467286,51914.32758707837,50993.28437691559,50713.826498186514,48363.955674307384,49190.85066221456,48113.63798116596,49947.99965882332,48389.5438360181,49947.99965882332,48389.5438360181,50689.843766103055,48103.068714281755
24,51870.45476495838,48591.75868442596,49104.246452570864,49357.46733318027,51279.44310221266,51770.101636016,51951.32932671821,51131.720289821424,51438.37739674888,51131.720289821424,51438.37739674888,50194.62950046207,51862.7373518796
25,21482.29587543589,26994.810808737006,25561.407245175666,25052.622787532673,20858.505283424187,21046.94361161167,19898.12703344008,22802.32955601166,20460.767008132163,22802.32955601166,20460.767008132163,24070.35392912537,20018.828679631377
26,73352.75064039427,75586.56949316297,74665.65369774653,74410.09012071294,72137.94838563685,72817.04524762767,71849.45636015829,73934.04984583308,71899.14440488105,73934.04984583308,71899.14440488105,74264.98342958745,71881.56603151097
27,42294.34265200171,38870.076099358914,39382.81977949295,39649.631055017686,41643.99907994233,42323.2279036363,42235.53162441436,41163.735107404216,41667.20321886102,41163.735107404216,41667.20321886102,40519.41310085489,42276.607207709785
28,21663.25398872733,27325.08894386728,25895.872856947855,25364.75384626334,20911.286337137495,20719.233558063523,20078.190207928867,23200.358264069084,20963.50454372711,23200.358264069084,20963.50454372711,24303.814604129762,20184.316205589726
29,63957.59664072904,66195.1650432262,65278.69263644081,65014.384901281024,62555.285417079824,63042.46146169983,62313.72183234323,64364.0933714733,62630.70776258813,64364.0933714733,62630.70776258813,64823.227704984645,62460.92341329951
