,BC,DN,DN2,BC2,PPO,PPO_preK123,PPO_KGK123
0,9573.426620838887,7993.47713278541,8461.833049162786,8508.61539557431,9071.585504725384,8070.884839930627,8836.575339287165
1,11634.673778128881,16460.421229936124,14253.701417101292,13724.056158619438,10528.644984061879,14646.935916694647,11331.8459084055
2,21208.10039896777,24453.898362721535,22715.53446626408,22232.67155419375,19600.230488787263,22717.820756625275,20168.421247692662
3,13361.20100959453,11784.089727106746,12256.104429507444,12292.189466619344,12845.556186801927,11901.037974732115,12447.883410753595
4,11910.64754163794,16533.111153458292,14505.98351524957,14043.999294068019,11063.972190952458,14829.783847679273,11204.082566653233
5,25271.84855123247,28317.20088056504,26762.087944757015,26336.188760687364,23909.528377754385,26730.821822411388,23651.965977406828
6,8782.30522019786,7232.112300859595,7700.369224699716,7746.609187788892,8362.747205701715,7295.038459346597,7909.514987857726
7,11578.021031778606,16351.903527050641,14172.994854722243,13638.172446884455,10411.162745909589,14926.468012145933,10858.418600707635
8,20360.32625197647,23584.015827910236,21873.36407942196,21384.781634673345,18773.909951611306,22221.506471492532,18767.93358856536
9,7239.6167407505245,6107.413665730356,6590.414217477819,6599.264430963896,6971.119880376565,5949.0047016000335,6742.603549436336
10,10754.155891929291,15035.421520032623,12870.870362087051,12429.970814570122,9464.403682635857,13543.24831063487,9459.674118622768
11,17993.772632679815,21142.83518576298,19461.28457956487,19029.23524553402,16435.523563012423,19492.253012234905,16202.277668059105
12,5754.85323601506,4625.569874392699,5102.270409703183,5094.938713101057,5264.706733336758,4358.040100478128,5218.824830034073
13,10389.769841712041,14793.660715960687,12513.109502944708,12040.029407844137,9338.73365763325,13554.177929934081,9445.12640405128
14,16144.623077727101,19419.230590353385,17615.37991264789,17134.968120945196,14603.440390970007,17912.21803041221,14663.951234085353
15,11644.34397875092,9872.257501555609,10373.614432506884,10404.133243974502,11089.826852669054,9898.078263969777,11172.011086497336
16,12861.174385040653,17709.810984408065,15662.211625984062,15156.545048896613,11981.284996919207,16318.041248564896,11721.213847009194
17,24505.518363791572,27582.068485963675,26035.826058490944,25560.678292871115,23071.111849588262,26216.11951253467,22893.224933506528
18,46812.35513383629,43394.17545552438,43909.58479114618,44167.948362004194,46309.35032701574,45134.93236353694,45989.74808749277
19,21512.914149897108,27164.4004748753,25737.3101444351,25196.72784689903,20590.480903511096,24108.151426599143,20914.935793232336
20,68325.26928373339,70558.57593039967,69646.89493558128,69364.67620890323,66899.83123052683,69243.08379013608,66904.6838807251
21,28041.57375620024,24643.492731521328,25160.090061021063,25444.963916896144,27415.775141386443,25891.810125759373,27333.566692735265
22,21539.344922267046,27270.83485555704,25833.19431589453,25268.86258129037,20948.180532920942,24798.03364034368,21025.534705218815
23,49580.918678467286,51914.32758707837,50993.28437691559,50713.826498186514,48363.955674307384,50689.843766103055,48359.10139795408
24,51870.45476495838,48591.75868442596,49104.246452570864,49357.46733318027,51279.44310221266,50194.62950046207,51216.636483628296
25,21482.29587543589,26994.810808737006,25561.407245175666,25052.622787532673,20858.505283424187,24070.35392912537,20667.81463964399
26,73352.75064039427,75586.56949316297,74665.65369774653,74410.09012071294,72137.94838563685,74264.98342958745,71884.45112327229
27,42294.34265200171,38870.076099358914,39382.81977949295,39649.631055017686,41643.99907994233,40519.41310085489,41747.97593778854
28,21663.25398872733,27325.08894386728,25895.872856947855,25364.75384626334,20911.286337137495,24303.814604129762,20584.94282084966
29,63957.59664072904,66195.1650432262,65278.69263644081,65014.384901281024,62555.285417079824,64823.227704984645,62332.9187586382
